,Min,Max,Mean,Median,Standard Deviation
Sepal Length,4.3,5.8,5.005999999999999,5.0,0.3524896872134512
Sepal Width,2.3,4.4,3.4180000000000006,3.4,0.38102439795469095
Petal Length,1.0,1.9,1.464,1.5,0.1735111594364455
Petal Width,0.1,0.6,0.2439999999999999,0.2,0.10720950308167837
Sepal Length,4.9,7.0,5.936,5.9,0.5161711470638635
Sepal Width,2.0,3.4,2.7700000000000005,2.8,0.3137983233784114
Petal Length,3.0,5.1,4.26,4.35,0.46991097723995806
Petal Width,1.0,1.8,1.3259999999999998,1.3,0.197752680004544
Sepal Length,4.9,7.9,6.587999999999998,6.5,0.635879593274432
Sepal Width,2.2,3.8,2.9739999999999998,3.0,0.3224966381726376
Petal Length,4.5,6.9,5.552,5.55,0.5518946956639835
Petal Width,1.4,2.5,2.026,2.0,0.27465005563666733
